content,warc-target-uri,warc-date,warc-record-id,quality-warnings,categories,identification-language,identification-prob,identification-consistency,script-percentage,num-sents,content-length,tlsh
"Jupiter (senbòl : ) sa roun planèt jéyant gazéz. A pli gròs planèt di Sistenm solèr, pli voliminéz ké masiv ki tout ròt planèt-ya réyini, ké senkyenm planèt-a pa so distans o Solèy(aprè Mercure, Vénus, Latè-a ké Mars).
Jupiter sa ensi ofisyèlman dézigné, daprè bondjé romen-an Jupiter, asimilé o bondjé grèk Zeus.
Senbòl astronomik-a di planèt-a té « ♃ », ki sa roun rouprézantasyon èstilizé di lafoud di Jupiter, oben ki dérivé di roun yéroglif oben, kou sala ka rousoti di sèrten papyrus d'Oxyrhynque, di lèt grèk-a zêta, inisyal di grèk ansyen Ζεύς(Zeús).",https://gcr.m.wikipedia.org/wiki/Jupiter_(plan%C3%A8t),2024-02-25T20:56:17Z,<urn:uuid:137f1061-c5d1-458e-b06c-d73c06101ff1>,[],['liste_bu' 'wikipedia'],gcr-Latn,1.0,1.0,0.98,3,608,tlsh:T1BB857FF002B5DA03C983E3A053C9CDD00E701AC0182AA0300AB5B9A4A68331DA7BF30150AF0D27D04F60ED86C443C822F822993F09BC73D0F011014F989CB02F1C6861C932
"Hiver : kanpangn di Boleslas III Bouche-Torse, rwa di Pològn, kont Swientopelk di Poméranie, révòlté ; i ka briga li asou Noteć, prè di Naklo.
2 févriyé : larchévèk-a di Vyenn Gui di Bourgogn sa éli pap à Cluny pa sis kardinal-ya ki té akonpagné Gélase II annan so ègzil. Sa chwa sa ratifyé atè Ronm.
9 févriyé : I sa kouronnen annan katédral-a di Vyenn anba non-an di Calixte II (finisman di pontifika an 1124).
Annan roun lèt ki voyé o pap Calixte II à lokazyon-an di so avenman, Louis VI, san dout asou konsèy-a di Suger, ka proklamé so kò rwa dé Fran.
25 févriyé : an Lèspagn, priz di Tudèle o Arab pa Aragonè, pa rwa-a Alphonse Ie d'Aragon, ki swivi di sa di Tarazona, Ágreda, Soria, Borja ké ròt vil.
Prentan : èspédisyon di Jean II Comnène kont Seldjoukid-ya. I ka roupran Laodicé o pronmyé aso, épi ka rantré atè Konstantinòp, pitèt pou réyaji à roun ségon tantativ di priz di pouvwè pa so sò Anne Comnène o profi di so mari Nicéphore Bryenne. Konplo-a ka échwé é Anne sa anfèrmé annan roun kouvan. Jean II Comnène roupati an kanpangn é ka pran Sozopolis an 1120. Koumansman di roukonkèt-a dé kot di Cilicie pa Jean II Comnène o dépan dé Seldjoukid (finisman an 1137).
Nòt ké référans[chanjé | Chanjé wikikod]
Lyen ègstèrn[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=1119&oldid=19668 »
Dannyé modifikasyon-an di sa paj té fè 29 jwiyé 2022 pou 17:13.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/1119,2024-02-24T12:00:55Z,<urn:uuid:898158f9-d647-4a3f-93ac-5e3722bad937>,[],['liste_bu' 'wikipedia'],gcr-Latn,0.72,1.0,1.0,7,1668,tlsh:T1E24B9C318662BB0BBFCB13F29135CEC6B9353984EA931010D93A75BBD969A98317B6952BFD8C71C001147E06029733B7F9A35171776C70F47414490ABD7A1C9C2E97108C6D
"Friedrich Wilhelm Nietzsche (prounonsé [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːt͡sʃə], souvan fransizé an [nit͡ʃ ]) sa roun filològ, filozòf, powèt, pyanis é konpozitò alman né 15 òktòb 1844 atè Röcken, an Prusse, é mouri 25 out 1900 atè Weimar, an Almagn.
Òv-a di Nietzsche sa ésansyèlman oun jénéyaloji kritik di kiltir ògsidantal modèrn-an é di ansanm di so valò moral-ya (isou di entèrprétasyon krétchen di monn), politik (démokrasi-a, égalitarism-a), filozofi (platonism-a, mè soutou sokratism-a, ké tout fòrm-yan di djwalism métafizik) é rélijyéz (kristchanism-a ké bouddhism-a).
Nòt ké référans[chanjé | Chanjé wikikod]
Wè osi[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=Friedrich_Nietzsche&oldid=4266 »
Katégori :
Filozòf
Dannyé modifikasyon-an di sa paj té fè 22 novanm 2019 pou 06:57.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/Friedrich_Nietzsche,2024-02-28T06:10:18Z,<urn:uuid:a9524872-4a39-451f-8eae-b889672b9619>,['short_sentences'],['liste_bu' 'wikipedia'],gcr-Latn,0.6,1.0,0.98,4,1079,tlsh:T1A802921120665DDF2BDB067A4065DFD8943A2D047CAD7130595C64A3C87DEB9303786023B9AFF04880E27A4033937612DFA66491B39D2092E86430693EB72AD8ECD320AC8C
"Rock-a sa roun janr mizikal ki aparèt andan lannen-yan 1950 o Étazini é ki ka dévlopé so kò an diféran anba-janr à partir dé lannen 1960, notaman o Étazini é o Rwayom-Ini. Li ka pran so rakaba annan rock 'n' roll-a dé lannen 1940 é 1950, li-menm grannman enfliyansé pa rhythm and blues ké country-a. Rock-a égalman enkòrporé dé éléman ki ka provini ròt janr don folk, blues, jazz ké lanmizik klasik. Tèrm-a « rock » sa jòdla itilizé kou roun tèrm jénérik ki ka enkli dé fòrm artistik kou pop music-a, lanmizik soul, é pafwè menm hip-hop-a, okèl li sa souvan opozé.
Nòt ké référans[chanjé | Chanjé wikikod]
Annèks[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=Rock&oldid=11922 »
Dannyé modifikasyon-an di sa paj té fè 22 novanm 2019 pou 07:11.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/Rock,2024-02-24T12:15:18Z,<urn:uuid:84ae1998-873b-4c47-baf0-4f84e9f180d9>,['short_sentences'],['liste_bu' 'wikipedia'],gcr-Latn,0.88,0.8,0.99,5,1020,tlsh:T1DD17AE1102AE2F1A1FDB07B17432DF945A363741A87910609978042635FBFFC31BF055ABFE1FE40844C9ADD4039BF0B0961704A47B54EAD1C8575066BF7109AD8E8721696D
"Adi Shankara (sanskri : Ādi Śaṅkara, devanagari : आदि शङ्कर ; pafwè aplé Ādi Śaṅkarācārya ; de Śaṅkara oben Śaṃkara, « sala ki ka apòrté félisité-a », oun dé épitèt di Shiva), sa, o viiie syèk, oun dé pli sélèb mèt spiritchwèl di hindouism-a, filozòf di lékòl òrtodòks-a Advaita Vedānta, é komantatò dé Upanishad védik, di Brahma Sūtra é Bhagavad-Gita. Li té gen pou mèt Govindanātha é té ka mennen oun lavi rénonsan itinéran (saṃnyāsin) ki ka alé di roun monastè oben di roun tanp à rounòt, di roun kominoté à rounòt.
Nòt ké référans[chanjé | Chanjé wikikod]
Wè osi[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=Adi_Shankara&oldid=15985 »
Katégori :
Filozòf
Dannyé modifikasyon-an di sa paj té fè 10 désanm 2019 pou 17:16.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/Adi_Shankara,2024-02-23T00:13:20Z,<urn:uuid:2b7fa70b-1c37-4559-a277-c4031949df68>,['short_sentences'],['liste_bu' 'wikipedia'],gcr-Latn,0.83,1.0,0.98,4,1047,tlsh:T1A3F2721175259F8B4BDB17B3B233CFE2FE3F2E54AA9C20A0443D0174C828DD1333B51425BEA9704055C07495E393716FED7210E2F3B159D0F8900449BE6622DD6F9794686D
"Jen : èspédisyon di Saladin à lès-a di Jourdain. I ka mété syèj-a divan Kérak é Montréal. Nur ad-Din ka maché bò'd sid-a pou roujwenn li, mè Saladin, ki ka prétèksté maladi-a di so papa Ayyoub, ka roupran larout-a di Léjip-a à so apròch. Ayyoub, ki ka vini di sonbré annan koma-a à laswit-a di roun chit di chouval ka mouri éfèktivman 9 out. Nur ad-Din, ki ka konstaté ki li gen pyès wonm di konfyans an Léjip, ka désidé di pran an lanmen pèrsonèlman zafè-ya di péyi.
Jwiyè : Nur ad-Din, an kanpagn kont soultan-an di Rum Kılıç Arslan II ka pran Marash. Oun trété d'alyans kont Krwazé-ya sa signé ant Dé wonm-yan. I pa roumété an koz alyans bizantin-an di Kılıç Arslan.
25 sèptanm : trété ant Pise é Saladin. Pise, ki éklipsé oun moman an Léjip pa konkèt ayyubid-a, ka routrouvé so drwè komèrsyal-ya é ka obténi di nouvèl konsésyon (drwè d'itilizé so pròp pwa é mizour é souprésyon di pratik vègzatwè : vant fòrsé, ègzaksyon dé douanyé).
Nòt ké référans[chanjé | Chanjé wikikod]
Lyen ègstèrn[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=1173&oldid=17616 »
Dannyé modifikasyon-an di sa paj té fè 25 janvyé 2020 pou 20:38.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/1173,2024-02-24T12:03:33Z,<urn:uuid:d3dc7021-f522-4e59-bc02-7e5ef63698a4>,[],['liste_bu' 'wikipedia'],gcr-Latn,0.89,1.0,1.0,6,1438,tlsh:T1E4969B219625FF0B478F03E32525DFD4513D3E11B0EA8150BAAC6C75A8A9D14B1B6DE5972E4F91C4C6C0BF8B13833663FD37044474BD308038406057BFB5184C5C87A59CAA
"Bahamas, an form long Commonwealth dé Bahamas, an anglè The Bahamas é Commonwealth of The Bahamas, sa roun péyi anglofonn, ki, byen ki sitchwé o nò di lanmè dé Karayib, sa tradisyonèlman konsidéré kou ka fè parti dé Karayib.
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=Bahamas&oldid=3376 »
Dannyé modifikasyon-an di sa paj té fè 22 novanm 2019 pou 06:57.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/Bahamas,2024-02-28T07:32:32Z,<urn:uuid:461e2a75-922c-4024-88aa-071520fc2fc5>,[],['liste_bu' 'wikipedia'],gcr-Latn,0.82,1.0,0.99,3,576,tlsh:T13F8172F0E1441F6F07FF0DD21312FED8F0390BE6A4C6119C1F1A20508C24E8A1167B28FBB95E62004991ADD207D72533EDEB10A937E831F160700819BE3C118C3D97549DCA
"10 mè : lanprò-a di Mali Kanga Moussa, ki pati fè pélrinaj-a di La Mecque, ka rivé an Léjip. I ka vizité Kèro 19 jwiyé-a é ka enprésyoné tout moun pa so magnifisyans. Li sa rèsponsab di chit-a di kour di lò an Léjip.
Lazi[chanjé | Chanjé wikikod]
Shōchū no hen : lanprò-a di Japon Go-Daigo Tenno sa trayi alò ki li té ka konspiré kont shogun di Kamakura.
Soultan-an di Delhi Ghiyath al-Din Tughlûq ka mennen oun raid kont Bengal-a. Asou chimen-an di routour, an désanm 1324, i ka pasé pa Tirhut. Prens endou Harisimha Deva, ki pa pouvé rézisté à li mè pa lé soumèt so kò, ka anfwi so kò atè Népal.
Dé prens endjen, ki ka fwi dominasyon musulman-an, ka établi yé kò atè Népal é ka fondé dinasti-a d’Ayodhya é di Malla. Dinasti-a di Malla ka régné di XIVe o xviiie syèk jouk envazyon-an dé gèryé rajputsen 1768.
Nòt ké référans[chanjé | Chanjé wikikod]
Lyen ègstèrn[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=1324&oldid=17767 »
Dannyé modifikasyon-an di sa paj té fè 25 janvyé 2020 pou 21:11.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/1324,2024-02-24T12:32:05Z,<urn:uuid:ff428524-5579-4679-b1a6-500acff8bbe4>,[],['liste_bu' 'wikipedia'],gcr-Latn,0.87,1.0,1.0,7,1290,tlsh:T1D48866214235AB1F4FDB53A2A072EFC5512D3A85B4C58860DBBE503AEA61D2436775E1977DAAE1805080AB8552D73932FC6F04B6759C60C2BC2820ABBE37064C1CE344D86E
"21 mè : dé navir fransé, ki koumandé pa Augustin de Beaulieu, ka vizité bè-a di Sen-Augustin atè Madagaskar.
21 novanm : rivé asou Mayflower, ki té annan tanpèt-a, Pilgrim Fathers, 102 piriten anglé ka débarké an Lanmérik(Nouvèl-Langlétè), atè Kap Cod é ka fondé 20 désanm-an kolonni-a di Plymouth, pronmyé lavil di Massachusetts, rò di konsésyon-an ki ogtrwayé pa lirwè-a (1622). Sa Pilgrim’s fathers-ya (41 antou) té divèt fwi Nottingham (1608), pou établi yé kò atè Leydedans Provens-Ini-ya. Yé ka signen roun akò, Mayflower Compact-a, ki sa à baz-a di roun démokrasi kalvinyenn. Dizwit fanm ki maryé ka rivé ké Mayflower-a. Trwa di yé sa ansent, don roun ki ka akouché di roun timoun ki mouri-nèt òbò di bato. O prentan 1621, sèl kat di sa fanm-yan ka viv òkò.
26 novanm : òrgannizasyon di roun nouvèl konpagni an Nouvèl-Lafrans ki donminen pa pèrsonnalité-a dé frè di Caen.
Nòt ké référans[chanjé | Chanjé wikikod]
Lyen ègstèrn[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=1620&oldid=18840 »
Dannyé modifikasyon-an di sa paj té fè 5 jen 2020 pou 00:42.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/1620,2024-02-22T00:24:15Z,<urn:uuid:d4839e60-ef23-4be2-840b-574be7616445>,[],['liste_bu' 'wikipedia'],gcr-Latn,0.82,1.0,1.0,5,1356,tlsh:T1012A99216367DF9A4BDB6B139432DFC55C2D25A4B8E2A022EB7C24349428D99723BA40E3B8DFD0805054694603CB3777DA7F20E99B2E11D2B8A0925E3E65108C5CC364ACFE
"26 jen : Palman ékosè-a ka ògtrwayé monnonpòl-a di koumèrs bò'd Lafrik-a ké Lenn-yan à Konpagni ékosè-a di Darién. Tantativ-a di enstalé roun kolonni ékosè an Lanmérik santral ké échwé. Guillaume III d'Orange sa sousyé di pa alyennen so kò Lèspagn-an annan so lalit kont Louis XIV.
Out - sèptanm : khan di Dzoungari Galdan ka anvayi òkò péyi-a Khalkha.
10 novanm : fondasyon di Lòrd libannen maronit-a, ki ankourajé pa patriyarch-a Étienne Al-Douaihi.
Kot Dilò-a : koumansman di règn di Osei Toutou, asantehene (rwè) di konférasyon Ashanti-a (finisman an 1717).
Gran Zimbabwé : à lanmò-a di rwè di Boutoua, Dombo, nouvèl monomotapa, Mhandé Pedro, ka òbténi oun sirsi. Li ka abandonnen so kapital pou réjyon-an di Tete. Anvan finisman-an di syèk, sigsésò-a di Changamiré Dombo ka roupran lofansiv-a é ka enpozé roun tribi o monomotapa. Dinasti-a dé Changamiré ka régné asou réjyon-an jouk 1830.
Nòt ké référans[chanjé | Chanjé wikikod]
Lyen ègstèrn[chanjé | Chanjé wikikod]
Rékipéré di « https://gcr.wikipedia.org/w/index.php?title=1695&oldid=18698 »
Dannyé modifikasyon-an di sa paj té fè 5 jen 2020 pou 00:42.
Tègs-ya sa disponnib anba lisans Creative Commons Attribution-pataj annan menm kondisyon-yan ; ròt kondisyon pouvé apliké yékò. Wè kondisyon-yan di litilizasyon pou plis détay.",https://gcr.wikipedia.org/wiki/1695,2024-02-23T01:21:04Z,<urn:uuid:95f580ed-90ea-478c-8ade-7a86af5fd1d5>,['short_sentences'],['liste_bu' 'wikipedia'],gcr-Latn,0.81,1.0,1.0,7,1368,tlsh:T1A12E902166A37F5F47E727309125DFC995392D44F4EDA5248A3C64659119E2031379447BFD7FB0C000516E8303CBA671F92321307675B1C27854451BFE39089C4D8781A869
